burstiness_target,burstiness_measured,scv_target,scv_measured,rate_per_lane,loss_probability,arrivals_measured,drops_measured
0.3062499999999999,0.30296419266342833,1.8828828828828825,1.8692930534546803,1.0250000000000001,0.02128,100000,2128
0.3062499999999999,0.30558324643552087,1.8828828828828825,1.8801148441967894,1.04,0.04372,100000,4372
0.4249999999999998,0.4274016713510387,2.4782608695652164,2.4928498738705285,0.86,0.0,100000,0
0.4249999999999998,0.4250284944865618,2.4782608695652164,2.4784332455119484,0.875,0.0,100000,0
0.4249999999999998,0.42214153987103836,2.4782608695652164,2.461055151037603,0.89,0.0,100000,0
0.4249999999999998,0.4198813993715993,2.4782608695652164,2.4475708895276655,0.905,0.0,100000,0
0.4249999999999998,0.42613395897510403,2.4782608695652164,2.4851339110920385,0.92,0.0,100000,0
0.4249999999999998,0.42338006508184134,2.4782608695652164,2.4684891709196037,0.935,0.0,100000,0
0.4249999999999998,0.4235198813012261,2.4782608695652164,2.4693303986170125,0.95,0.0,100000,0
0.4249999999999998,0.42539140948904464,2.4782608695652164,2.480630176833161,0.9650000000000001,0.0,100000,0
0.4249999999999998,0.4271137585096687,2.4782608695652164,2.491094488143253,0.98,0.00072,100000,72
0.4249999999999998,0.4281144906109253,2.4782608695652164,2.497203491196219,0.995,0.0048,100000,480
0.4249999999999998,0.4292847912962102,2.4782608695652164,2.5043748081331256,1.01,0.00963,100000,963
0.4249999999999998,0.4223169201631723,2.4782608695652164,2.4621059016734916,1.0250000000000001,0.03199,100000,3199
0.4249999999999998,0.4228413948761109,2.4782608695652164,2.465251981421455,1.04,0.03938,100000,3938
0.54375,0.541390132810455,3.383561643835616,3.3610051660170526,0.86,0.0,100000,0
0.54375,0.5462475815527342,3.383561643835616,3.4076900060256894,0.875,0.0,100000,0
0.54375,0.5384278808356295,3.383561643835616,3.3330173486665466,0.89,0.0,100000,0
0.54375,0.5401496521345919,3.383561643835616,3.349241028703913,0.905,0.0,100000,0
0.54375,0.5489173403698241,3.383561643835616,3.4337771743203733,0.92,0.0,100000,0
0.54375,0.5433427675606615,3.383561643835616,3.379652522563904,0.935,0.0,100000,0
