n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
8,2,-0.23000000,0.89000000,0.00750000,1.000000000000e-12,2.712328340622e-03,1000000.0000000000
8,2,-0.22000000,0.89000000,0.00750000,1.000000000000e-12,2.807955853006e-03,1000000.0000000000
8,2,-0.21000000,0.89000000,0.00750000,1.000000000000e-12,2.907613053213e-03,1000000.0000000000
8,2,-0.20000000,0.89000000,0.00750000,1.000000000000e-12,3.011496443157e-03,1000000.0000000000
8,2,-0.19000000,0.89000000,0.00750000,1.000000000000e-12,3.119813334875e-03,1000000.0000000000
8,2,-0.18000000,0.89000000,0.00750000,1.000000000000e-12,3.232782506959e-03,1000000.0000000000
8,2,-0.17000000,0.89000000,0.00750000,1.000000000000e-12,3.350634904093e-03,1000000.0000000000
8,2,-0.16000000,0.89000000,0.00750000,1.000000000000e-12,3.473614382673e-03,1000000.0000000000
8,2,-0.15000000,0.89000000,0.00750000,1.000000000000e-12,3.601978505718e-03,1000000.0000000000
8,2,-0.14000000,0.89000000,0.00750000,1.000000000000e-12,3.735999390510e-03,1000000.0000000000
8,2,-0.13000000,0.89000000,0.00750000,1.000000000000e-12,3.875964612629e-03,1000000.0000000000
8,2,-0.12000000,0.89000000,0.00750000,1.000000000000e-12,4.022178170325e-03,1000000.0000000000
8,2,-0.11000000,0.89000000,0.00750000,1.000000000000e-12,4.174961513442e-03,1000000.0000000000
8,2,-0.10000000,0.89000000,0.00750000,1.000000000000e-12,4.334654641402e-03,1000000.0000000000
8,2,-0.09000000,0.89000000,0.00750000,1.000000000000e-12,4.501617275068e-03,1000000.0000000000
8,2,-0.08000000,0.89000000,0.00750000,1.000000000000e-12,4.676230107675e-03,1000000.0000000000
8,2,-0.07000000,0.89000000,0.00750000,1.000000000000e-12,4.858896140310e-03,1000000.0000000000
8,2,-0.06000000,0.89000000,0.00750000,1.000000000000e-12,5.050042107890e-03,1000000.0000000000
8,2,-0.05000000,0.89000000,0.00750000,1.000000000000e-12,5.250120001898e-03,1000000.0000000000
8,2,-0.04000000,0.89000000,0.00750000,1.000000000000e-12,5.459608696646e-03,1000000.0000000000
8,2,-0.03000000,0.89000000,0.00750000,1.000000000000e-12,5.679015686229e-03,1000000.0000000000
8,2,-0.02000000,0.89000000,0.00750000,1.000000000000e-12,5.908878939843e-03,1000000.0000000000
8,2,-0.01000000,0.89000000,0.00750000,1.000000000000e-12,6.149768883621e-03,1000000.0000000000
8,2,0.00000000,0.89000000,0.00750000,1.000000000000e-12,6.402290517697e-03,1000000.0000000000
8,2,0.01000000,0.89000000,0.00750000,1.000000000000e-12,6.667085677725e-03,1000000.0000000000
8,2,0.02000000,0.89000000,0.00750000,1.000000000000e-12,6.944835450685e-03,1000000.0000000000
