n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,0.39000000,0.47200000,0.00750000,1.000000000000e-12,6.481481481481e-02,1000000.0000000000
4,1,0.41000000,0.47200000,0.00750000,1.000000000000e-12,8.333333333333e-02,1000000.0000000000
4,1,0.43000000,0.47200000,0.00750000,1.000000000000e-12,8.755760368664e-02,1000000.0000000000
4,1,0.45000000,0.47200000,0.00750000,1.000000000000e-12,9.677419354839e-02,1000000.0000000000
4,1,0.47000000,0.47200000,0.00750000,1.000000000000e-12,1.105990783410e-01,1000000.0000000000
4,1,0.49000000,0.47200000,0.00750000,1.000000000000e-12,1.023255813953e-01,1000000.0000000000
4,1,0.51000000,0.47200000,0.00750000,1.000000000000e-12,1.111111111111e-01,1000000.0000000000
4,1,0.53000000,0.47200000,0.00750000,1.000000000000e-12,1.203703703704e-01,1000000.0000000000
4,1,0.55000000,0.47200000,0.00750000,1.000000000000e-12,1.336405529954e-01,1000000.0000000000
4,1,0.57000000,0.47200000,0.00750000,1.000000000000e-12,1.474654377880e-01,1000000.0000000000
4,1,0.59000000,0.47200000,0.00750000,1.000000000000e-12,1.342592592593e-01,1000000.0000000000
4,1,0.61000000,0.47200000,0.00750000,1.000000000000e-12,1.435185185185e-01,1000000.0000000000
4,1,0.63000000,0.47200000,0.00750000,1.000000000000e-12,1.566820276498e-01,1000000.0000000000
4,1,0.65000000,0.47200000,0.00750000,1.000000000000e-12,1.534883720930e-01,1000000.0000000000
4,1,0.67000000,0.47200000,0.00750000,1.000000000000e-12,1.658986175115e-01,1000000.0000000000
4,1,0.69000000,0.47200000,0.00750000,1.000000000000e-12,1.705069124424e-01,1000000.0000000000
4,1,0.71000000,0.47200000,0.00750000,1.000000000000e-12,1.805555555556e-01,1000000.0000000000
4,1,0.73000000,0.47200000,0.00750000,1.000000000000e-12,1.843317972350e-01,1000000.0000000000
4,1,0.75000000,0.47200000,0.00750000,1.000000000000e-12,1.981566820276e-01,1000000.0000000000
4,1,0.77000000,0.47200000,0.00750000,1.000000000000e-12,2.018348623853e-01,1000000.0000000000
4,1,0.79000000,0.47200000,0.00750000,1.000000000000e-12,2.119815668203e-01,1000000.0000000000
4,1,0.81000000,0.47200000,0.00750000,1.000000000000e-12,2.165898617512e-01,1000000.0000000000
4,1,0.83000000,0.47200000,0.00750000,1.000000000000e-12,2.304147465438e-01,1000000.0000000000
4,1,0.85000000,0.47200000,0.00750000,1.000000000000e-12,2.396313364055e-01,1000000.0000000000
4,1,0.87000000,0.47200000,0.00750000,1.000000000000e-12,2.557077625571e-01,1000000.0000000000
4,1,0.89000000,0.47200000,0.00750000,1.000000000000e-12,2.580645161290e-01,1000000.0000000000
4,1,0.91000000,0.47200000,0.00750000,1.000000000000e-12,2.764976958525e-01,1000000.0000000000
