implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.07875,512,64,19,141,90,40,17.207589285714285,19,0.28368794326241137
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.07875,512,64,19,141,90,40,16.859375,19,0.28368794326241137
time_merger,4,1,1.0,0.5,9.0,5.0,0.07875,512,64,19,140,90,43,16.537946428571427,19,0.30714285714285716
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.07875,512,64,19,139,90,43,14.729910714285714,19,0.30935251798561153
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.07875,512,64,19,123,57,66,6.234375,19,0.5365853658536586
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.07875,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.115625,512,64,19,207,90,115,18.649553571428573,19,0.5555555555555556
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.115625,512,64,19,207,90,115,18.649553571428573,19,0.5555555555555556
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.115625,512,64,19,208,90,115,18.622767857142858,19,0.5528846153846154
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.115625,512,64,19,206,90,115,18.5,19,0.558252427184466
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.115625,512,64,19,207,90,116,18.301339285714285,19,0.5603864734299517
time_merger,4,1,1.0,0.5,9.0,5.0,0.115625,512,64,19,210,90,117,17.814732142857142,19,0.5571428571428572
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.115625,512,64,19,209,90,118,16.629464285714285,19,0.5645933014354066
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.115625,512,64,19,205,85,115,9.720982142857142,19,0.5609756097560976
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.115625,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.1525,512,64,19,273,90,183,18.732142857142858,19,0.6703296703296703
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.1525,512,64,19,273,90,183,18.732142857142858,19,0.6703296703296703
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.1525,512,64,19,274,90,184,18.705357142857142,19,0.6715328467153284
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.1525,512,64,19,273,90,183,18.620535714285715,19,0.6703296703296703
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.1525,512,64,19,273,90,184,18.46875,19,0.673992673992674
time_merger,4,1,1.0,0.5,9.0,5.0,0.1525,512,64,19,275,90,185,18.091517857142858,19,0.6727272727272727
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.1525,512,64,19,267,90,180,16.993303571428573,19,0.6741573033707865
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.1525,512,64,19,287,89,187,12.314732142857142,19,0.6515679442508711
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.1525,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.189375,512,64,19,339,90,249,18.75,19,0.7345132743362832
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.189375,512,64,19,339,90,249,18.75,19,0.7345132743362832
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.189375,512,64,19,340,90,250,18.736607142857142,19,0.7352941176470589
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.189375,512,64,19,339,90,249,18.694196428571427,19,0.7345132743362832
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.189375,512,64,19,338,90,249,18.537946428571427,19,0.7366863905325444
