implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,0.58000000,0.00745833,0.0460338327,1.000000000000e-12
opq,4,1,1.000000,0.59000000,0.00745833,0.0465918390,1.000000000000e-12
opq,4,1,1.000000,0.60000000,0.00745833,0.0471706418,1.000000000000e-12
opq,4,1,1.000000,0.61000000,0.00745833,0.0477715659,1.000000000000e-12
opq,4,1,1.000000,0.62000000,0.00745833,0.0483960573,1.000000000000e-12
opq,4,1,1.000000,0.63000000,0.00745833,0.0490456979,1.000000000000e-12
opq,4,1,1.000000,0.64000000,0.00745833,0.0497222222,1.000000000000e-12
opq,4,1,1.000000,0.65000000,0.00745833,0.0504275372,1.000000000000e-12
opq,4,1,1.000000,0.66000000,0.00745833,0.0511637446,1.000000000000e-12
opq,4,1,1.000000,0.67000000,0.00745833,0.0519331674,1.000000000000e-12
opq,4,1,1.000000,0.68000000,0.00745833,0.0527383808,1.000000000000e-12
opq,4,1,1.000000,0.69000000,0.00745833,0.0535822484,1.000000000000e-12
opq,4,1,1.000000,0.70000000,0.00745833,0.0544679654,1.000000000000e-12
opq,4,1,1.000000,0.71000000,0.00745833,0.0553991092,1.000000000000e-12
opq,4,1,1.000000,0.72000000,0.00745833,0.0563797006,1.000000000000e-12
opq,4,1,1.000000,0.73000000,0.00745833,0.0574142768,1.000000000000e-12
opq,4,1,1.000000,0.74000000,0.00745833,0.0585079803,1.000000000000e-12
opq,4,1,1.000000,0.75000000,0.00745833,0.0596666667,1.000000000000e-12
opq,4,1,1.000000,0.76000000,0.00745833,0.0608970367,1.000000000000e-12
opq,4,1,1.000000,0.77000000,0.00745833,0.0622068002,1.000000000000e-12
opq,4,1,1.000000,0.78000000,0.00745833,0.0636048804,1.000000000000e-12
opq,4,1,1.000000,0.79000000,0.00745833,0.0651016706,1.000000000000e-12
opq,4,1,1.000000,0.80000000,0.00745833,0.0667093613,1.000000000000e-12
opq,4,1,1.000000,0.81000000,0.00745833,0.0684423606,1.000000000000e-12
opq,4,1,1.000000,0.82000000,0.00745833,0.0703178410,1.000000000000e-12
opq,4,1,1.000000,0.83000000,0.00745833,0.0723564615,1.000000000000e-12
opq,4,1,1.000000,0.84000000,0.00745833,0.0745833333,1.000000000000e-12
opq,4,1,1.000000,0.85000000,0.00745833,0.0770293354,1.000000000000e-12
opq,4,1,1.000000,0.86000000,0.00745833,0.0797329372,1.000000000000e-12
opq,4,1,1.000000,0.87000000,0.00745833,0.0827427793,1.000000000000e-12
opq,4,1,1.000000,0.88000000,0.00745833,0.0861214152,1.000000000000e-12
opq,4,1,1.000000,0.89000000,0.00745833,0.0899508845,1.000000000000e-12
opq,4,1,1.000000,0.90000000,0.00745833,0.0943412835,1.000000000000e-12
opq,4,1,1.000000,0.91000000,0.00745833,0.0994444444,1.000000000000e-12
opq,4,1,1.000000,0.92000000,0.00745833,0.1054767615,1.000000000000e-12
opq,4,1,1.000000,0.93000000,0.00745833,0.1127594011,1.000000000000e-12
opq,4,1,1.000000,0.94000000,0.00745833,0.1217940733,1.000000000000e-12
opq,4,1,1.000000,0.95000000,0.00745833,0.1334187227,1.000000000000e-12
opq,4,1,1.000000,-0.25000000,0.00991667,0.0354789452,1.000000000000e-12
opq,4,1,1.000000,-0.24000000,0.00991667,0.0356217182,1.000000000000e-12
opq,4,1,1.000000,-0.23000000,0.00991667,0.0357662288,1.000000000000e-12
opq,4,1,1.000000,-0.22000000,0.00991667,0.0359125126,1.000000000000e-12
opq,4,1,1.000000,-0.21000000,0.00991667,0.0360606061,1.000000000000e-12
opq,4,1,1.000000,-0.20000000,0.00991667,0.0362105469,1.000000000000e-12
opq,4,1,1.000000,-0.19000000,0.00991667,0.0363623737,1.000000000000e-12
opq,4,1,1.000000,-0.18000000,0.00991667,0.0365161265,1.000000000000e-12
opq,4,1,1.000000,-0.17000000,0.00991667,0.0366718463,1.000000000000e-12
opq,4,1,1.000000,-0.16000000,0.00991667,0.0368295754,1.000000000000e-12
opq,4,1,1.000000,-0.15000000,0.00991667,0.0369893574,1.000000000000e-12
opq,4,1,1.000000,-0.14000000,0.00991667,0.0371512372,1.000000000000e-12
opq,4,1,1.000000,-0.13000000,0.00991667,0.0373152611,1.000000000000e-12
opq,4,1,1.000000,-0.12000000,0.00991667,0.0374814769,1.000000000000e-12
opq,4,1,1.000000,-0.11000000,0.00991667,0.0376499338,1.000000000000e-12
opq,4,1,1.000000,-0.10000000,0.00991667,0.0378206827,1.000000000000e-12
opq,4,1,1.000000,-0.09000000,0.00991667,0.0379937760,1.000000000000e-12
opq,4,1,1.000000,-0.08000000,0.00991667,0.0381692678,1.000000000000e-12
opq,4,1,1.000000,-0.07000000,0.00991667,0.0383472141,1.000000000000e-12
opq,4,1,1.000000,-0.06000000,0.00991667,0.0385276725,1.000000000000e-12
opq,4,1,1.000000,-0.05000000,0.00991667,0.0387107029,1.000000000000e-12
opq,4,1,1.000000,-0.04000000,0.00991667,0.0388963668,1.000000000000e-12
opq,4,1,1.000000,-0.03000000,0.00991667,0.0390847280,1.000000000000e-12
opq,4,1,1.000000,-0.02000000,0.00991667,0.0392758525,1.000000000000e-12
opq,4,1,1.000000,-0.01000000,0.00991667,0.0394698085,1.000000000000e-12
opq,4,1,1.000000,0.00000000,0.00991667,0.0396666667,1.000000000000e-12
opq,4,1,1.000000,0.01000000,0.00991667,0.0398665000,1.000000000000e-12
opq,4,1,1.000000,0.02000000,0.00991667,0.0400693843,1.000000000000e-12
opq,4,1,1.000000,0.03000000,0.00991667,0.0402753979,1.000000000000e-12
opq,4,1,1.000000,0.04000000,0.00991667,0.0404846221,1.000000000000e-12
opq,4,1,1.000000,0.05000000,0.00991667,0.0406971413,1.000000000000e-12
opq,4,1,1.000000,0.06000000,0.00991667,0.0409130428,1.000000000000e-12
opq,4,1,1.000000,0.07000000,0.00991667,0.0411324172,1.000000000000e-12
opq,4,1,1.000000,0.08000000,0.00991667,0.0413553588,1.000000000000e-12
opq,4,1,1.000000,0.09000000,0.00991667,0.0415819652,1.000000000000e-12
opq,4,1,1.000000,0.10000000,0.00991667,0.0418123380,1.000000000000e-12
opq,4,1,1.000000,0.11000000,0.00991667,0.0420465826,1.000000000000e-12
opq,4,1,1.000000,0.12000000,0.00991667,0.0422848087,1.000000000000e-12
opq,4,1,1.000000,0.13000000,0.00991667,0.0425271305,1.000000000000e-12
opq,4,1,1.000000,0.14000000,0.00991667,0.0427736667,1.000000000000e-12
opq,4,1,1.000000,0.15000000,0.00991667,0.0430245408,1.000000000000e-12
opq,4,1,1.000000,0.16000000,0.00991667,0.0432798816,1.000000000000e-12
opq,4,1,1.000000,0.17000000,0.00991667,0.0435398231,1.000000000000e-12
opq,4,1,1.000000,0.18000000,0.00991667,0.0438045053,1.000000000000e-12
opq,4,1,1.000000,0.19000000,0.00991667,0.0440740741,1.000000000000e-12
opq,4,1,1.000000,0.20000000,0.00991667,0.0443486816,1.000000000000e-12
opq,4,1,1.000000,0.21000000,0.00991667,0.0446284867,1.000000000000e-12
opq,4,1,1.000000,0.22000000,0.00991667,0.0449136557,1.000000000000e-12
opq,4,1,1.000000,0.23000000,0.00991667,0.0452043620,1.000000000000e-12
opq,4,1,1.000000,0.24000000,0.00991667,0.0455007872,1.000000000000e-12
opq,4,1,1.000000,0.25000000,0.00991667,0.0458031214,1.000000000000e-12
opq,4,1,1.000000,0.26000000,0.00991667,0.0461115634,1.000000000000e-12
opq,4,1,1.000000,0.27000000,0.00991667,0.0464263217,1.000000000000e-12
opq,4,1,1.000000,0.28000000,0.00991667,0.0467476150,1.000000000000e-12
opq,4,1,1.000000,0.29000000,0.00991667,0.0470756724,1.000000000000e-12
opq,4,1,1.000000,0.30000000,0.00991667,0.0474107348,1.000000000000e-12
opq,4,1,1.000000,0.31000000,0.00991667,0.0477530551,1.000000000000e-12
opq,4,1,1.000000,0.32000000,0.00991667,0.0481028990,1.000000000000e-12
opq,4,1,1.000000,0.33000000,0.00991667,0.0484605463,1.000000000000e-12
opq,4,1,1.000000,0.34000000,0.00991667,0.0488262914,1.000000000000e-12
opq,4,1,1.000000,0.35000000,0.00991667,0.0492004447,1.000000000000e-12
opq,4,1,1.000000,0.36000000,0.00991667,0.0495833333,1.000000000000e-12
opq,4,1,1.000000,0.37000000,0.00991667,0.0499753025,1.000000000000e-12
opq,4,1,1.000000,0.38000000,0.00991667,0.0503767170,1.000000000000e-12
opq,4,1,1.000000,0.39000000,0.00991667,0.0507879624,1.000000000000e-12
opq,4,1,1.000000,0.40000000,0.00991667,0.0512094465,1.000000000000e-12
opq,4,1,1.000000,0.41000000,0.00991667,0.0516416014,1.000000000000e-12
opq,4,1,1.000000,0.42000000,0.00991667,0.0520848850,1.000000000000e-12
opq,4,1,1.000000,0.43000000,0.00991667,0.0525397835,1.000000000000e-12
opq,4,1,1.000000,0.44000000,0.00991667,0.0530068130,1.000000000000e-12
opq,4,1,1.000000,0.45000000,0.00991667,0.0534865224,1.000000000000e-12
opq,4,1,1.000000,0.46000000,0.00991667,0.0539794962,1.000000000000e-12
opq,4,1,1.000000,0.47000000,0.00991667,0.0544863570,1.000000000000e-12
opq,4,1,1.000000,0.48000000,0.00991667,0.0550077695,1.000000000000e-12
opq,4,1,1.000000,0.49000000,0.00991667,0.0555444433,1.000000000000e-12
opq,4,1,1.000000,0.50000000,0.00991667,0.0560971380,1.000000000000e-12
opq,4,1,1.000000,0.51000000,0.00991667,0.0566666667,1.000000000000e-12
opq,4,1,1.000000,0.52000000,0.00991667,0.0572539017,1.000000000000e-12
opq,4,1,1.000000,0.53000000,0.00991667,0.0578597800,1.000000000000e-12
opq,4,1,1.000000,0.54000000,0.00991667,0.0584853093,1.000000000000e-12
opq,4,1,1.000000,0.55000000,0.00991667,0.0591315754,1.000000000000e-12
opq,4,1,1.000000,0.56000000,0.00991667,0.0597997500,1.000000000000e-12
opq,4,1,1.000000,0.57000000,0.00991667,0.0604910996,1.000000000000e-12
opq,4,1,1.000000,0.58000000,0.00991667,0.0612069955,1.000000000000e-12
opq,4,1,1.000000,0.59000000,0.00991667,0.0619489255,1.000000000000e-12
opq,4,1,1.000000,0.60000000,0.00991667,0.0627185069,1.000000000000e-12
opq,4,1,1.000000,0.61000000,0.00991667,0.0635175010,1.000000000000e-12
opq,4,1,1.000000,0.62000000,0.00991667,0.0643478304,1.000000000000e-12
opq,4,1,1.000000,0.63000000,0.00991667,0.0652115983,1.000000000000e-12
opq,4,1,1.000000,0.64000000,0.00991667,0.0661111111,1.000000000000e-12
opq,4,1,1.000000,0.65000000,0.00991667,0.0670489042,1.000000000000e-12
