n_shd,skew_frames,skew_timestamp_ticks,skew_ns,aligned_poisson_mean,offered_poisson_mean,opq_effective_capacity,old_tree_depth,old_effective_capacity,opq_loss_rate,old_time_merger_loss_rate,loss_ratio_clipped,log10_opq_loss_rate,log10_old_time_merger_loss_rate,log10_loss_ratio_clipped
256,0.2833333333333333,1160.5333333333333,9284.266666666666,200.192,266.92266666666666,256,2,32,1.0208585125086298e-06,0.6301150895140666,617240.37346335,-5.991034445469164,-0.20058012010836712,5.790454325360797
256,0.3,1228.8,9830.4,211.96800000000002,282.624,256,2,32,2.6082525110153326e-05,0.6367753623188406,24413.869425202185,-4.583650365841963,-0.19601374837335614,4.387636617468607
256,0.31666666666666665,1297.0666666666666,10376.533333333333,223.744,298.32533333333333,256,2,32,0.00032428492256365295,0.6427345537757437,1982.005665556601,-3.489073243123599,-0.1919683515432365,3.2971048915803625
256,0.3333333333333333,1365.3333333333333,10922.666666666666,235.52,314.02666666666664,256,2,32,0.002178913682460428,0.6480978260869567,297.4407987355998,-2.6617599739637696,-0.18835943529738483,2.4734005386663847
256,0.35,1433.6,11468.8,247.296,329.728,256,2,32,0.008759753569810897,0.6529503105590062,74.53980358640408,-2.05750811127218,-0.1851198672258811,1.8723882440462987
256,0.36666666666666664,1501.8666666666666,12014.933333333332,259.072,345.4293333333333,256,2,32,0.023331322146653097,0.6573616600790514,28.175071088860285,-1.6320606497735042,-0.18219562928035385,1.4498650204931502
256,0.3833333333333333,1570.1333333333332,12561.066666666666,270.848,361.1306666666666,256,2,32,0.04555820077787778,0.6613894139886579,14.51746124069536,-1.34143343577092,-0.17954276056096694,1.161890675209953
256,0.4,1638.4,13107.2,282.624,376.83200000000005,256,2,32,0.07164804932917632,0.6650815217391304,9.282618689079897,-1.144795629092275,-0.17712511819834226,0.9676705108939327
256,0.4166666666666667,1706.6666666666667,13653.333333333334,294.40000000000003,392.53333333333336,256,2,32,0.09798702599683855,0.6684782608695653,6.822109907602799,-1.0088314233992004,-0.1749127115701385,0.8339187118290621
256,0.43333333333333335,1774.9333333333334,14199.466666666667,306.17600000000004,408.2346666666667,256,2,32,0.12292848382937129,0.671613712374582,5.463450710958117,-0.9103474748300963,-0.1728804454288363,0.7374670294012599
256,0.45,1843.2,14745.6,317.95200000000006,423.93600000000004,256,2,32,0.14613686331622575,0.6745169082125605,4.615652018977392,-0.835240218593882,-0.1710071593332522,0.6642330592606297
256,0.4666666666666667,1911.4666666666667,15291.733333333334,329.728,439.63733333333334,256,2,32,0.16770196360394826,0.6772127329192547,4.038192030467739,-0.7754618522575589,-0.16927488490364484,0.6061869673539141
256,0.48333333333333334,1979.7333333333333,15837.866666666667,341.504,455.3386666666667,256,2,32,0.18778111415272097,0.6797226386806596,3.6197603882989333,-0.7263480884900323,-0.16766826532805823,0.5586798231619741
256,0.5,2048.0,16384.0,353.28000000000003,471.04,256,2,32,0.20652173929828632,0.6820652173913044,3.3026315762631393,-0.6850342260397514,-0.16617409719247944,0.518860128847272
256,0.5166666666666666,2116.2666666666664,16930.13333333333,365.056,486.7413333333333,256,2,32,0.22405329593728962,0.6842566619915849,3.0539906102657906,-0.6496486630124905,-0.16478096556256044,0.48486769744992997
256,0.5333333333333333,2184.5333333333333,17476.266666666666,376.83200000000005,502.4426666666667,256,2,32,0.24048913043488163,0.6863111413043479,2.853813559320859,-0.6189045479755134,-0.16347895088679434,0.45542559708871905
256,0.55,2252.8,18022.4,388.60800000000006,518.1440000000001,256,2,32,0.25592885375494245,0.6882411067193676,2.689189189189171,-0.5918807484225255,-0.16225939174379803,0.4296213566787275
256,0.5666666666666667,2321.0666666666666,18568.533333333333,400.384,533.8453333333333,256,2,32,0.270460358056266,0.6900575447570333,2.551418439716312,-0.5678963813487868,-0.16111469139552392,0.4067816899532629
256,0.5833333333333334,2389.3333333333335,19114.666666666668,412.1600000000001,549.5466666666667,256,2,32,0.28416149068323,0.6917701863354038,2.4344262295081953,-0.5464347776293823,-0.16003815898691848,0.3863966186424639
256,0.6,2457.6,19660.8,423.93600000000004,565.248,256,2,32,0.29710144927536236,0.6933876811594203,2.333841463414634,-0.5270952296815009,-0.15902387835890028,0.3680713513226007
256,0.6166666666666667,2525.866666666667,20206.933333333334,435.71200000000005,580.9493333333334,256,2,32,0.30934195064629855,0.6949177438307874,2.2464387464387463,-0.5095611802270636,-0.1580665990279661,0.35149458119909754
256,0.6333333333333333,2594.133333333333,20753.066666666666,447.488,596.6506666666667,256,2,32,0.3209382151029748,0.6963672768878718,2.1697860962566846,-0.4935785670422228,-0.15716164508045236,0.33641692196177053
256,0.65,2662.4,21299.2,459.26400000000007,612.3520000000001,256,2,32,0.33193979933110374,0.697742474916388,2.1020151133501255,-0.4789406728892769,-0.15630483863712652,0.32263583425215037
256,0.6666666666666666,2730.6666666666665,21845.333333333332,471.04,628.0533333333333,256,2,32,0.34239130434782616,0.6990489130434784,2.0416666666666665,-0.4654772735559547,-0.15549243523904704,0.3099848383169076
256,0.6833333333333333,2798.9333333333334,22391.466666666667,482.81600000000003,643.7546666666667,256,2,32,0.35233297985153766,0.7002916224814422,1.9875846501128667,-0.45304670312255874,-0.15472106904233263,0.2983256340802261
256,0.7,2867.2,22937.6,494.592,659.456,256,2,32,0.36180124223602483,0.7014751552795031,1.9388412017167382,-0.44152994633379317,-0.15398770612684265,0.28754224020695046
256,0.7166666666666667,2935.4666666666667,23483.733333333334,506.36800000000005,675.1573333333333,256,2,32,0.37082912032355925,0.702603640040445,1.8946830265848666,-0.430826169081859,-0.15328960455056295,0.277536564531296
256,0.7333333333333333,3003.733333333333,24029.866666666665,518.144,690.8586666666666,256,2,32,0.37944664031620556,0.7036808300395258,1.8544921875,-0.42084928813624944,-0.15262428003904388,0.26822500809720556
256,0.75,3072.0,24576.0,529.9200000000001,706.5600000000001,256,2,32,0.3876811594202899,0.7047101449275363,1.8177570093457942,-0.411525304380008,-0.15198947640349114,0.25953582797651686
256,0.7666666666666666,3140.2666666666664,25122.13333333333,541.696,722.2613333333333,256,2,32,0.39555765595463144,0.705694706994329,1.7840501792114696,-0.4027902053698881,-0.1513831399440385,0.2514070654258496
256,0.7833333333333333,3208.5333333333333,25668.266666666666,553.4720000000001,737.9626666666667,256,2,32,0.4030989824236819,0.7066373728029604,1.753012048192771,-0.3945882981712794,-0.1508033972254273,0.24378490094585215
256,0.8,3276.8,26214.4,565.248,753.6640000000001,256,2,32,0.41032608695652173,0.7075407608695652,1.724337748344371,-0.38687087138034826,-0.15024853571771538,0.23662233566263285
256,0.8166666666666667,3345.0666666666666,26760.533333333333,577.024,769.3653333333333,256,2,32,0.41725820763087845,0.7084072759538599,1.6977671451355663,-0.37959511182369005,-0.14971698688006507,0.22987812494362492
256,0.8333333333333334,3413.3333333333335,27306.666666666668,588.8000000000001,785.0666666666667,256,2,32,0.4239130434782609,0.7092391304347826,1.673076923076923,-0.372723220319056,-0.1492073113352367,0.22351590898381932
256,0.85,3481.6,27852.8,600.576,800.768,256,2,32,0.430306905370844,0.7100383631713555,1.650074294205052,-0.3662216844998524,-0.14871818583933644,0.2175034986605159
256,0.8666666666666667,3549.866666666667,28398.933333333334,612.3520000000001,816.4693333333335,256,2,32,0.4364548494983278,0.710806856187291,1.6285919540229885,-0.36006067665012986,-0.14824839179815577,0.21181228485197406
256,0.8833333333333333,3618.133333333333,28945.066666666666,624.128,832.1706666666666,256,2,32,0.44237079573420846,0.7115463494667761,1.608484005563282,-0.3542135518437992,-0.14779680512004362,0.20641674672375554
256,0.9,3686.4,29491.2,635.9040000000001,847.8720000000001,256,2,32,0.44806763285024165,0.7122584541062803,1.5896226415094339,-0.34865642716983414,-0.147362387227247,0.20129403994258716
256,0.9166666666666666,3754.6666666666665,30037.333333333332,647.6800000000001,863.5733333333334,256,2,32,0.4535573122529645,0.7129446640316206,1.5718954248366013,-0.343367826966519,-0.14694417707426727,0.19642364989225175
256,0.9333333333333333,3822.9333333333334,30583.466666666667,659.456,879.2746666666667,256,2,32,0.4588509316770186,0.7136063664596274,1.5552030456852792,-0.3383283821425379,-0.1465412840439965,0.19178709809854144
256,0.95,3891.2,31129.6,671.232,894.976,256,2,32,0.46395881006864986,0.7142448512585812,1.5394574599260171,-0.33352057408722824,-0.14615288161101772,0.1873676924762105
256,0.9666666666666667,3959.4666666666667,31675.733333333334,683.008,910.6773333333334,256,2,32,0.4688905547226387,0.7148613193403298,1.5245803357314147,-0.32892851555109137,-0.14577820167710243,0.18315031387398895
