implementation,n_lane,egress_symbols_per_beat,burstiness,scv,rate_per_lane,effective_load,effective_capacity,loss_probability
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0724,0.20650623990243994,255,1.6125165369192322e-175
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.07629999999999999,0.21763019481431167,255,1.0275324368095323e-169
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0802,0.22875414972618344,255,3.3595648890349492e-164
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0841,0.2398781046380552,255,6.004660422562116e-159
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.088,0.25100205954992694,255,6.197097125826592e-154
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0919,0.26212601446179873,255,3.8731461372704506e-149
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0958,0.27324996937367046,255,1.528326539694488e-144
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0997,0.28437392428554226,255,3.94982457276036e-140
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1036,0.295497879197414,255,6.90631233426477e-136
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1075,0.3066218341092858,255,8.40920281492019e-132
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1114,0.3177457890211576,255,7.316378578587508e-128
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1153,0.3288697439330293,255,4.6548582396707775e-124
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1192,0.3399936988449011,255,2.2111565457764908e-120
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1231,0.35111765375677284,255,7.990900761557884e-117
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.127,0.36224160866864463,255,2.234762145945997e-113
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.13090000000000002,0.3733655635805164,255,4.911910095118257e-110
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1348,0.38448951849238816,255,8.605661211824076e-107
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.13870000000000002,0.39561347340425995,255,1.2174149450798175e-103
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1426,0.4067374283161317,255,1.4071883713732439e-100
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.14650000000000002,0.4178613832280035,255,1.3435288190911242e-97
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1504,0.4289853381398752,255,1.0702168536306592e-94
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.15430000000000002,0.440109293051747,255,7.17861539961892e-92
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.1582,0.45123324796361874,255,4.089462765175101e-89
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.16210000000000002,0.46235720287549054,255,1.9942926986899695e-86
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.166,0.4734811577873623,255,8.386922866111305e-84
