run_tag,case,n_lane,egress_symbols_per_beat,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,tlm_offered_hits,rtl_expected_hits,tlm_dropped_hits,tlm_predrop_hits,tlm_postdrop_hits,tlm_ft_drop_hits,tlm_lane_predrop_hits,tlm_lane_postdrop_hits,tlm_lane_ft_drop_hits,tlm_lane_dropped_hits,rtl_dropped_hits,tlm_loss,rtl_loss,max_lane_fifo_used,max_ticket_fifo_used,max_handle_fifo_used,max_page_frames,max_page_words,max_cycle,sequence_monotonic
share_shallow_b403_s0200_rho06400_f0004_seeda042,RTL-LS-002,4,1,6400000,403,4,128,4096,8192,4096,65536,2048,4096,4096,12931,12931,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2074,261,64,2,6662,34020,1
share_shallow_b403_s0220_rho07040_f0004_seeda043,RTL-LS-002,4,1,7040000,403,4,128,4096,8192,4096,65536,2048,4096,4096,14748,14748,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2456,266,64,1,3981,36060,1
share_shallow_b403_s0230_rho07360_f0004_seeda044,RTL-LS-002,4,1,7360000,403,4,128,4096,8192,4096,65536,2048,4096,4096,15252,15252,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2610,266,64,2,7995,36087,1
share_shallow_b403_s0235_rho07520_f0004_seeda045,RTL-LS-002,4,1,7520000,403,4,128,4096,8192,4096,65536,2048,4096,4096,15281,15281,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2577,268,64,2,7815,36845,1
share_shallow_b403_s0240_rho07680_f0004_seeda046,RTL-LS-002,4,1,7680000,403,4,128,4096,8192,4096,65536,2048,4096,4096,16139,16139,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2686,271,64,2,8210,37670,1
share_shallow_b403_s0242_rho07744_f0004_seeda047,RTL-LS-002,4,1,7744000,403,4,128,4096,8192,4096,65536,2048,4096,4096,15422,15422,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2498,263,64,2,7965,36247,1
share_shallow_b403_s0245_rho07840_f0004_seeda048,RTL-LS-002,4,1,7840000,403,4,128,4096,8192,4096,65536,2048,4096,4096,16166,16166,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2771,266,64,2,8177,37678,1
share_shallow_b403_s0250_rho08000_f0004_seeda049,RTL-LS-002,4,1,8000000,403,4,128,4096,8192,4096,65536,2048,4096,4096,15848,15848,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2683,268,64,2,8059,36891,1
share_shallow_b403_s0255_rho08160_f0004_seeda04a,RTL-LS-002,4,1,8160000,403,4,128,4096,8192,4096,65536,2048,4096,4096,16518,16518,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2856,271,64,2,8631,37876,1
share_shallow_b403_s0260_rho08320_f0004_seeda04b,RTL-LS-002,4,1,8320000,403,4,128,4096,8192,4096,65536,2048,4096,4096,17266,17266,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2891,273,64,2,8859,38261,1
